GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENSG00000170430,MGMT,20,21,15,9,13,5,5,3,1,1,0,4,5,2,4,4,1,3,1,0,0,2,0,1,120
ENSG00000140941,MAP1LC3B,11,12,8,9,3,1,1,2,4,2,3,3,3,3,3,2,2,1,0,1,0,0,0,0,74
ENSG00000126088,UROD,5,4,4,5,7,4,6,2,1,0,1,2,1,2,1,0,2,1,0,1,1,2,0,0,52
ENSG00000127616,SMARCA4,3,6,9,1,0,2,2,1,0,1,0,0,2,0,0,0,0,1,1,0,0,2,0,0,31
ENSG00000138496,PARP9,11,1,0,1,4,1,1,0,1,4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,29
ENSG00000119772,DNMT3A,12,8,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,27
ENSG00000141510,TP53,5,5,1,3,1,4,0,0,0,1,0,1,2,0,0,0,3,0,0,0,0,1,0,0,27
ENSG00000140451,PIF1,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26
ENSG00000174501,ANKRD36C,6,4,0,4,2,1,2,0,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,26
ENSG00000077420,APBB1IP,7,2,2,1,0,1,2,0,2,3,0,1,2,0,0,0,0,0,1,0,1,0,0,0,25
ENSG00000086758,HUWE1,0,3,1,0,6,2,1,1,1,0,0,2,0,1,2,0,1,1,0,2,0,1,0,0,25
ENSG00000101972,STAG2,13,5,1,0,0,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,25
ENSG00000122497,NBPF14,3,5,3,4,1,0,0,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23
ENSG00000135297,MTO1,4,2,1,3,2,0,2,0,0,0,1,0,1,0,0,1,1,1,3,0,0,1,0,0,23
ENSG00000172046,USP19,0,6,3,2,0,0,2,2,0,0,1,0,0,0,0,1,0,0,2,1,2,1,0,0,23
ENSG00000135976,ANKRD36,5,3,3,3,1,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,21
ENSG00000172687,ZNF738,5,6,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,21
