GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,All_samples
ENSG00000126088,UROD,0.0515463917525773,0.0487804878048781,0.114285714285714,0.161290322580645,0.25,0.142857142857143,0.3,0.2,0.111111111111111,0,0.05,0.25,0.142857142857143,0.25,0.1,0,0.4,0.142857142857143,0,0.166666666666667,0.111111111111111,0.285714285714286,0,0,0.112068965517241
ENSG00000140941,MAP1LC3B,0.046218487394958,0.0506329113924051,0.0677966101694915,0.09375,0.0416666666666667,0.0166666666666667,0.024390243902439,0.0571428571428571,0.114285714285714,0.0625,0.0666666666666667,0.0857142857142857,0.15,0.0909090909090909,0.142857142857143,0.0869565217391304,0.0666666666666667,0.0416666666666667,0,0.0476190476190476,0,0,0,0,0.0581304006284368
ENSG00000127837,AAMP,0.0333333333333333,0.0280373831775701,0.0416666666666667,0.0666666666666667,0,0,0,0.0476190476190476,0.136363636363636,0,0,0.0454545454545455,0.1,0.181818181818182,0,0,0,0.0909090909090909,0,0,0,0,0,0,0.0343642611683849
ENSG00000172046,USP19,0,0.0425531914893617,0.0344827586206897,0.0363636363636364,0,0,0.0740740740740741,0.0769230769230769,0,0,0.0555555555555556,0,0,0,0,0.125,0,0,0.125,0.0833333333333333,0.2,0.0625,0,0,0.0294871794871795
ENSG00000266714,MYO15B,0.0364963503649635,0.0185185185185185,0.0256410256410256,0,0,0,0,0,0,0,0.0588235294117647,0.0454545454545455,0,0.0434782608695652,0.05,0,0.0454545454545455,0.0714285714285714,0,0,0.0555555555555556,0,0,0,0.0198598130841121
ENSG00000170144,HNRNPA3,0.0126582278481013,0.0160427807486631,0.0506329113924051,0.0151515151515152,0.0178571428571429,0,0,0.037037037037037,0,0.037037037037037,0,0.0555555555555556,0,0,0,0.0555555555555556,0.0625,0,0.111111111111111,0,0,0,0,0,0.0196936542669584
ENSG00000172687,ZNF738,0.0246305418719212,0.0295566502463054,0,0,0,0.0689655172413793,0,0.025,0.0540540540540541,0,0,0.0625,0,0,0,0,0,0.0625,0.0833333333333333,0,0,0,0,0,0.0188340807174888
ENSG00000140451,PIF1,0,0,0,0,0.24468085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571428571429,0.018413597733711
ENSG00000100060,MFNG,0.0148514851485149,0.0202020202020202,0.0297029702970297,0,0.0298507462686567,0,0,0.0344827586206897,0,0.0833333333333333,0.0645161290322581,0,0,0,0,0,0.0555555555555556,0,0,0,0.0625,0,0,0,0.0183220829315333
ENSG00000169249,ZRSR2,0.00526315789473684,0.0510204081632653,0.012987012987013,0,0,0,0.108108108108108,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0.0177453027139875
ENSG00000138496,PARP9,0.0310734463276836,0.00333333333333333,0,0.00740740740740741,0.03125,0.0112359550561798,0.0163934426229508,0,0.0303030303030303,0.0833333333333333,0.0238095238095238,0,0,0,0.027027027027027,0,0.032258064516129,0,0,0.0454545454545455,0,0,0.0526315789473684,0,0.0167921250723799
ENSG00000141510,TP53,0.015015015015015,0.0181818181818182,0.00746268656716418,0.0265486725663717,0.00833333333333333,0.0454545454545455,0,0,0,0.0232558139534884,0,0.0238095238095238,0.0625,0,0,0,0.0526315789473684,0,0,0,0,0.0256410256410256,0,0,0.0166769610870908
ENSG00000204392,LSM2,0,0.00680272108843537,0.0266666666666667,0.0357142857142857,0,0.0882352941176471,0.0416666666666667,0,0,0,0,0,0.05,0,0.0588235294117647,0.05,0,0,0,0,0,0,0,0,0.0154440154440154
ENSG00000186399,GOLGA8R,0.0268456375838926,0.00598802395209581,0,0,0,0.0232558139534884,0.032258064516129,0.0769230769230769,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.013317191283293
ENSG00000254505,CHMP4A,0.0119047619047619,0,0.0363636363636364,0,0.04,0,0,0,0,0,0.0769230769230769,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0.0126849894291755
ENSG00000175634,RPS6KB2,0.0258064516129032,0,0.012987012987013,0,0.0147058823529412,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.0476190476190476,0,0.0625,0,0,0.0769230769230769,0.25,0,0.0126146788990826
ENSG00000163736,PPBP,0,0.0235294117647059,0,0,0,0.037037037037037,0,0,0.0833333333333333,0,0.0526315789473684,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0.0117416829745597
ENSG00000100299,ARSA,0,0.0491803278688525,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0112540192926045
ENSG00000136451,VEZF1,0.0403225806451613,0,0,0,0,0,0,0,0,0.027027027027027,0,0.03125,0,0,0,0.0434782608695652,0,0,0,0,0,0.0555555555555556,0,0,0.0106141015921152
ENSG00000205220,PSMB10,0,0.025,0,0,0,0,0,0,0.1,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0.0100603621730382
ENSG00000125356,NDUFA1,0.0149253731343284,0.0224719101123596,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00966183574879227
ENSG00000204305,AGER,0.0375,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959232613908873
ENSG00000136305,CIDEB,0.00862068965517241,0.00925925925925926,0,0.0163934426229508,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0.142857142857143,0,0,0,0,0,0,0.00958466453674121
ENSG00000135297,MTO1,0.0075046904315197,0.00375234521575985,0.00341296928327645,0.0205479452054795,0.016260162601626,0,0.03125,0,0,0,0.0153846153846154,0,0.027027027027027,0,0,0.0144927536231884,0.024390243902439,0.0454545454545455,0.0833333333333333,0,0,0.0204081632653061,0,0,0.00903732809430255
ENSG00000163900,TMEM41A,0.0106951871657754,0.0148148148148148,0,0.0149253731343284,0,0,0.0425531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0.0087719298245614
ENSG00000101247,NDUFAF5,0.00366300366300366,0.0173611111111111,0,0.00819672131147541,0,0.0121951219512195,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0.0909090909090909,0,0,0.0084985835694051
ENSG00000123737,EXOSC9,0.0236686390532544,0.00617283950617284,0,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0.00841346153846154
ENSG00000108592,FTSJ3,0.00970873786407767,0.0245901639344262,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00838926174496644
ENSG00000117448,AKR1A1,0.00816326530612245,0.0176991150442478,0,0,0,0,0.024390243902439,0,0,0.032258064516129,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333
ENSG00000172543,CTSW,0.0116279069767442,0.0113636363636364,0,0,0,0,0.0476190476190476,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00831600831600832
ENSG00000147123,NDUFB11,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008
ENSG00000140400,MAN2C1,0.00641025641025641,0.0225988700564972,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0.0526315789473684,0,0,0,0,0,0.00793650793650794
ENSG00000112312,GMNN,0.00699300699300699,0.00757575757575758,0,0,0,0.0294117647058824,0.0714285714285714,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0.00790513833992095
ENSG00000179988,PSTK,0.0157894736842105,0.0153846153846154,0,0.0204081632653061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00789473684210526
ENSG00000105323,HNRNPUL1,0,0.00712589073634204,0.0126050420168067,0.00512820512820513,0.00649350649350649,0.0145985401459854,0.0166666666666667,0.0277777777777778,0,0,0.0135135135135135,0.0196078431372549,0.0294117647058824,0,0,0,0,0,0,0,0,0.0277777777777778,0,0,0.00744805958447668
ENSG00000007312,CD79B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0.0555555555555556,0,0,0.05,0.0909090909090909,0,0,0.0072463768115942
ENSG00000171865,RNASEH1,0.0158730158730159,0.0123456790123457,0,0,0.0136986301369863,0.0163934426229508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717948717948718
ENSG00000134285,FKBP11,0.0087719298245614,0,0.0172413793103448,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0.0071301247771836
ENSG00000132153,DHX30,0.00759013282732448,0.0078740157480315,0.00434782608695652,0,0.0153846153846154,0.00763358778625954,0,0.0338983050847458,0.0142857142857143,0.0227272727272727,0,0,0,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.00706057227796358
ENSG00000170430,MGMT,0.00587371512481645,0.00700233411137046,0.00910746812386157,0.00764006791171477,0.0110921501706485,0.00542299349240781,0.00941619585687382,0.0058252427184466,0.00240963855421687,0.00255754475703325,0,0.0103359173126615,0.0157232704402516,0.00578034682080925,0.0128205128205128,0.0149253731343284,0.0029673590504451,0.0116279069767442,0.00387596899224806,0,0,0.00743494423791822,0,0.0217391304347826,0.00701262272089762
ENSG00000176170,SPHK1,0,0.0217391304347826,0.0125,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696378830083565
ENSG00000095059,DHPS,0.00775193798449612,0.00684931506849315,0,0.0217391304347826,0.0172413793103448,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069060773480663
ENSG00000168970,JMJD7-PLA2G4B,0,0.0171232876712329,0,0.015625,0.00934579439252336,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0.05,0,0,0.00686641697877653
ENSG00000182179,UBA7,0.0181818181818182,0.0078125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0.00680272108843537
ENSG00000196954,CASP4,0,0,0,0,0.0277777777777778,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0.1,0,0,0.0833333333333333,0,0,0,0.0066815144766147
ENSG00000028839,TBPL1,0.00267379679144385,0.0192837465564738,0,0.00699300699300699,0.0168067226890756,0,0,0,0,0,0,0,0,0.0217391304347826,0.0277777777777778,0,0,0,0,0,0,0,0,0,0.00660569105691057
ENSG00000067225,PKM,0,0.0111524163568773,0,0,0,0,0.025,0,0,0.0285714285714286,0,0,0,0.0344827586206897,0,0,0.0769230769230769,0,0.0384615384615385,0,0,0.0588235294117647,0,0,0.00650618087182824
ENSG00000125734,GPR108,0.0120481927710843,0.00684931506849315,0.0136986301369863,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00629722921914358
ENSG00000134248,LAMTOR5,0.00757575757575758,0.00884955752212389,0,0.0212765957446809,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00627943485086342
ENSG00000136059,VILL,0.0168067226890756,0,0,0,0,0.037037037037037,0,0,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0.00619469026548673
ENSG00000156531,PHF6,0.00488997555012225,0.00819672131147541,0,0,0,0,0,0,0,0,0.0483870967741936,0.025,0,0,0,0,0.0652173913043478,0,0,0,0,0,0,0,0.00618556701030928
ENSG00000116922,C1orf109,0.0119047619047619,0.0145985401459854,0,0.0185185185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00610500610500611
ENSG00000115657,ABCB6,0.0141843971631206,0.0121212121212121,0,0,0,0,0,0.0344827586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0060313630880579
ENSG00000042445,RETSAT,0.0196078431372549,0,0,0.0151515151515152,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598802395209581
ENSG00000271605,MILR1,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00598802395209581
ENSG00000146094,DOK3,0,0,0.0125,0,0,0,0.0555555555555556,0.05,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0.00593471810089021
ENSG00000086758,HUWE1,0,0.00372670807453416,0.00289855072463768,0,0.0229885057471264,0.00769230769230769,0.00699300699300699,0.00943396226415094,0.00961538461538462,0,0,0.0206185567010309,0,0.0136986301369863,0.0253164556962025,0,0.0119047619047619,0.015625,0,0.0327868852459016,0,0.0128205128205128,0,0,0.00590597684857075
ENSG00000165501,LRR1,0.0130434782608696,0,0,0,0.0434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588235294117647
ENSG00000175567,UCP2,0,0.0132450331125828,0.0172413793103448,0,0,0,0,0.0416666666666667,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0.00586854460093897
ENSG00000130165,ELOF1,0.00613496932515337,0.00571428571428571,0,0,0.0147058823529412,0,0,0,0,0,0,0,0,0,0,0.0714285714285714,0,0,0.0833333333333333,0,0,0,0,0,0.0058343057176196
ENSG00000005381,MPO,0.0170454545454545,0,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0,0,0,0,0.00582750582750583
ENSG00000184634,MED12,0.0121951219512195,0,0,0.0246913580246914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.00572737686139748
ENSG00000122497,NBPF14,0.00360576923076923,0.00641025641025641,0.00689655172413793,0.0152091254752852,0.0043859649122807,0,0,0.0297029702970297,0.0106382978723404,0.0133333333333333,0,0.0126582278481013,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0.00567901234567901
ENSG00000040275,SPDL1,0.0136986301369863,0.00819672131147541,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564516129032258
ENSG00000168894,RNF181,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.00561797752808989
ENSG00000243708,PLA2G4B,0,0.0136986301369863,0,0.015625,0.00934579439252336,0,0,0,0,0,0,0.0571428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0.00561797752808989
ENSG00000100023,PPIL2,0.0111856823266219,0.0024390243902439,0,0.00719424460431655,0,0.018348623853211,0,0,0,0,0,0,0,0.0277777777777778,0,0.0285714285714286,0,0,0,0,0,0,0,0.0909090909090909,0.00555812876331635
ENSG00000099949,LZTR1,0.00403225806451613,0.0130434782608696,0,0,0.0133333333333333,0.0147058823529412,0.0212765957446809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00555114988104679
ENSG00000135924,DNAJB2,0,0.0144927536231884,0.0138888888888889,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.00550206327372765
ENSG00000185909,KLHDC8B,0,0.0294117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054945054945055
ENSG00000175895,PLEKHF2,0.0112781954887218,0.00389105058365759,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0.0384615384615385,0,0,0,0.00548320767649075
ENSG00000171298,GAA,0.003690036900369,0,0,0.0119047619047619,0.0121951219512195,0,0,0,0,0.0333333333333333,0.0526315789473684,0.0303030303030303,0,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0.00548159749412686
ENSG00000123810,B9D2,0.0123456790123457,0.0104712041884817,0,0,0.0144927536231884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00546448087431694
ENSG00000266967,AARSD1,0.00333333333333333,0.00347222222222222,0,0.0212765957446809,0,0.0125,0,0.0285714285714286,0,0,0.032258064516129,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0.00546116504854369
ENSG00000182866,LCK,0,0.00647948164146868,0.00833333333333333,0.00595238095238095,0,0.00649350649350649,0,0,0,0.0185185185185185,0,0.0212765957446809,0,0,0.0161290322580645,0.0285714285714286,0,0,0.024390243902439,0.0277777777777778,0,0,0,0,0.00541215653621982
ENSG00000248333,CDK11B,0.0077120822622108,0.00255102040816327,0.0114942528735632,0.00571428571428571,0.00719424460431655,0,0,0,0,0.0192307692307692,0,0,0.027027027027027,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0.0053921568627451
ENSG00000183624,HMCES,0.00892857142857143,0.00432900432900433,0,0,0.0169491525423729,0.0126582278481013,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052790346907994
ENSG00000254413,CHKB-CPT1B,0.00735294117647059,0,0,0.0149253731343284,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0.0666666666666667,0,0,0,0,0.00524246395806029
ENSG00000123329,ARHGAP9,0,0.00854700854700855,0,0.0217391304347826,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00521739130434783
ENSG00000116691,MIIP,0,0.00584795321637427,0.010752688172043,0,0,0,0,0.037037037037037,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.0051975051975052
ENSG00000196497,IPO4,0,0.0087719298245614,0,0,0.0689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518134715025907
ENSG00000158050,DUSP2,0,0,0.0181818181818182,0,0.0147058823529412,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514579759862779
ENSG00000197948,FCHSD1,0,0.0110497237569061,0.0117647058823529,0,0,0.0222222222222222,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0.00510204081632653
ENSG00000153187,HNRNPU,0,0.0112359550561798,0,0,0.0294117647058824,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504032258064516
ENSG00000169877,AHSP,0,0.0273972602739726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503778337531486
ENSG00000196507,TCEAL3,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050251256281407
ENSG00000166140,ZFYVE19,0.0178571428571429,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00501672240802676
ENSG00000074582,BCS1L,0,0,0,0,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0.111111111111111,0,0,0,0,0,0,0,0,0.00498753117206983
ENSG00000164211,STARD4,0,0.0223880597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0.00493827160493827
ENSG00000196415,PRTN3,0,0.0037593984962406,0.00763358778625954,0,0.0196078431372549,0,0,0.0217391304347826,0,0,0.0303030303030303,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0.00492264416315049
ENSG00000121053,EPX,0.00518134715025907,0.0104166666666667,0,0,0.0140845070422535,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490677134445535
ENSG00000166340,TPP1,0,0.00819672131147541,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.00490196078431373
ENSG00000125148,MT2A,0,0,0,0.0238095238095238,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.00487804878048781
ENSG00000168701,TMEM208,0.0113636363636364,0.0158730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00485436893203884
ENSG00000258790,AL121594.1,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0.00485436893203884
ENSG00000135596,MICAL1,0.00367647058823529,0.00687285223367698,0.00704225352112676,0.00884955752212389,0,0.0123456790123457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0.00483759502418798
ENSG00000103496,STX4,0.00847457627118644,0.008,0,0,0.0196078431372549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482315112540193
ENSG00000119772,DNMT3A,0.00983606557377049,0.00769230769230769,0.00218340611353712,0,0,0,0,0.00613496932515337,0,0.0065359477124183,0,0.0218978102189781,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0.00481455064194009
ENSG00000163918,RFC4,0.00403225806451613,0,0.00813008130081301,0,0.0114942528735632,0,0,0,0,0,0.0384615384615385,0,0,0.0454545454545455,0,0,0,0,0,0.0666666666666667,0,0,0,0,0.00480384307445957
