GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENSG00000170745,KCNS3,0,0,0,0,84,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89
ENSG00000122585,NPY,0,0,0,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88
ENSG00000269586,CT45A10,78,5,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,88
ENSG00000226907,CT45A6,78,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,87
ENSG00000273696,CT45A7,77,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84
ENSG00000228836,CT45A4,72,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80
ENSG00000242185,CT45A2,76,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
ENSG00000270946,CT45A9,72,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80
ENSG00000183461,XAGE1C,46,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ENSG00000204375,XAGE1E,46,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ENSG00000204376,XAGE1D,46,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ENSG00000204379,XAGE1A,46,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
ENSG00000204382,XAGE1B,45,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
ENSG00000148935,GAS2,4,0,0,0,54,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,2,70
ENSG00000149972,CNTN5,1,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70
ENSG00000080224,EPHA6,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66
ENSG00000118322,ATP10B,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66
ENSG00000102854,MSLN,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,64
ENSG00000132688,NES,0,0,0,0,61,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,64
ENSG00000160862,AZGP1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
ENSG00000137634,NXPE4,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,57
ENSG00000118402,ELOVL4,0,0,0,0,4,0,0,0,0,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0,53
ENSG00000166603,MC4R,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53
ENSG00000164100,NDST3,1,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,52
ENSG00000064655,EYA2,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46
ENSG00000133328,PLAAT2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,45
ENSG00000158485,CD1B,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45
ENSG00000115380,EFEMP1,0,0,0,0,22,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,44
ENSG00000106236,NPTX2,23,1,0,0,0,9,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,42
ENSG00000173585,CCR9,0,0,0,0,0,1,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,42
ENSG00000176887,SOX11,2,0,0,2,0,13,0,0,0,0,0,0,4,18,0,0,1,0,0,0,0,1,0,0,41
ENSG00000171724,VAT1L,5,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
ENSG00000188596,CFAP54,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,40
ENSG00000153779,TGIF2LX,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
ENSG00000163689,C3orf67,0,0,0,0,0,2,0,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,1,0,39
ENSG00000198914,POU3F3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,32,0,1,0,0,0,0,0,0,0,39
ENSG00000280969,RPS4Y2,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39
ENSG00000102970,CCL17,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
ENSG00000153292,ADGRF1,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
ENSG00000158488,CD1E,1,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,0,0,38
ENSG00000196581,AJAP1,0,0,0,0,25,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,38
ENSG00000141934,PLPP2,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
ENSG00000170689,HOXB9,32,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,37
ENSG00000106541,AGR2,10,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36
ENSG00000137731,FXYD2,0,0,0,0,0,2,0,0,0,1,31,0,0,1,1,0,0,0,0,0,0,0,0,0,36
ENSG00000154553,PDLIM3,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
ENSG00000189292,ALKAL2,0,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,36
ENSG00000197614,MFAP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,2,0,36
ENSG00000135298,ADGRB3,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35
ENSG00000178217,SH2D4B,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35
ENSG00000278085,CT45A8,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
ENSG00000114487,MORC1,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
ENSG00000104413,ESRP1,0,0,0,0,23,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,33
ENSG00000158477,CD1A,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ENSG00000168447,SCNN1B,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,33
ENSG00000175315,CST6,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ENSG00000183378,OVCH2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ENSG00000080644,CHRNA3,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,32
ENSG00000165816,VWA2,0,0,0,0,0,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ENSG00000171951,SCG2,10,0,0,0,2,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ENSG00000240403,KIR3DL2,0,0,0,0,0,4,0,0,0,12,3,0,0,0,0,0,0,0,0,13,0,0,0,0,32
ENSG00000109819,PPARGC1A,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,31
ENSG00000117114,ADGRL2,4,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31
ENSG00000147488,ST18,14,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,31
ENSG00000168398,BDKRB2,0,0,0,5,0,2,0,0,0,0,0,0,0,1,19,0,1,0,0,0,1,2,0,0,31
ENSG00000092607,TBX15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,30
ENSG00000072832,CRMP1,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,29
ENSG00000127325,BEST3,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,1,0,0,29
ENSG00000143502,SUSD4,0,0,0,0,0,0,0,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29
ENSG00000152527,PLEKHH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,28
ENSG00000158258,CLSTN2,15,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
ENSG00000170561,IRX2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
ENSG00000275163,AC117457.1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
ENSG00000147481,SNTG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,27
ENSG00000150051,MKX,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
ENSG00000006468,ETV1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
ENSG00000043039,BARX2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
ENSG00000138696,BMPR1B,2,0,0,0,4,10,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,26
ENSG00000145808,ADAMTS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26
ENSG00000148483,TMEM236,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ENSG00000166106,ADAMTS15,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26
ENSG00000169418,NPR1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ENSG00000173114,LRRN3,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26
ENSG00000188620,HMX3,22,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26
ENSG00000114948,ADAM23,6,0,0,0,2,2,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25
ENSG00000126890,CTAG2,1,0,0,0,20,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ENSG00000167693,NXN,0,0,0,0,1,19,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,25
ENSG00000218819,TDRD15,0,0,0,9,7,0,0,0,0,0,0,0,2,4,1,0,1,0,0,0,1,0,0,0,25
ENSG00000087128,TMPRSS11E,0,0,0,0,18,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,24
ENSG00000106341,PPP1R17,0,0,0,0,8,0,0,0,0,0,0,0,2,1,5,0,0,0,0,0,0,4,4,0,24
ENSG00000138771,SHROOM3,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
ENSG00000162576,MXRA8,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
