GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENSG00000150991,UBC,8,14,7,3,12,2,4,0,1,0,1,4,0,1,1,2,1,0,1,0,0,1,0,0,63
ENSG00000131269,ABCB7,12,7,5,1,2,4,2,1,1,3,1,0,2,1,0,1,0,0,2,2,2,1,0,0,50
ENSG00000174501,ANKRD36C,15,8,5,4,3,4,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,45
ENSG00000161203,AP2M1,11,15,4,1,2,2,0,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,43
ENSG00000012223,LTF,3,8,3,1,3,2,2,3,2,0,1,6,2,0,0,2,1,0,1,0,0,0,0,0,40
ENSG00000135976,ANKRD36,14,5,3,1,3,2,0,2,1,2,0,1,1,1,0,0,1,1,0,0,1,0,0,0,39
ENSG00000169045,HNRNPH1,13,9,1,6,0,1,1,2,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,38
ENSG00000119655,NPC2,5,7,7,3,2,2,3,1,1,0,1,0,0,1,0,1,1,1,2,0,0,0,0,0,38
ENSG00000196465,MYL6B,16,13,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,37
ENSG00000138385,SSB,8,9,4,2,0,4,0,0,1,1,1,1,2,1,0,1,0,0,0,0,1,0,0,0,36
ENSG00000137154,RPS6,3,11,2,1,4,0,3,1,0,0,1,1,1,2,0,0,1,0,2,0,0,0,1,0,34
ENSG00000104043,ATP8B4,16,10,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,33
ENSG00000005381,MPO,9,11,4,1,1,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,33
ENSG00000101972,STAG2,15,9,2,0,1,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,33
ENSG00000008128,CDK11A,5,8,5,3,0,2,1,1,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,0,32
ENSG00000134516,DOCK2,10,6,7,3,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,32
ENSG00000231389,HLA-DPA1,8,6,4,2,0,2,1,1,0,0,1,0,0,0,1,2,2,1,0,1,0,0,0,0,32
ENSG00000142347,MYO1F,8,6,4,1,0,1,0,1,1,1,0,1,0,3,1,2,0,1,0,1,0,0,0,0,32
