Gene_pair,GeneID_1,GeneSymbol_1,GeneID_2,GeneSymbol_2,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ARHGAP26--NR3C1,ENSG00000145819,ARHGAP26,ENSG00000145819,NR3C1,122,179,90,26,5,8,45,26,23,18,26,24,3,8,0,18,3,8,8,8,9,2,1,1,661
CD74--CAMK2A,ENSG00000019582,CD74,ENSG00000019582,CAMK2A,58,88,33,90,7,8,21,12,6,19,6,3,19,17,14,3,5,20,11,22,21,11,8,0,502
TET3--AC073046.25,ENSG00000187605,TET3,ENSG00000187605,AC073046.25,42,171,19,46,2,3,28,5,6,11,3,8,9,7,1,8,0,13,10,6,1,2,0,1,402
NADK--SSU72,ENSG00000008130,NADK,ENSG00000008130,SSU72,25,101,69,3,3,1,45,17,16,2,1,22,2,2,1,25,6,4,7,4,3,1,1,0,361
N4BP2L1--HMGB1,ENSG00000139597,N4BP2L1,ENSG00000139597,HMGB1,84,46,25,73,2,13,13,5,6,9,3,5,14,13,6,2,1,8,1,8,9,8,3,0,357
OAZ1--SBNO2,ENSG00000104904,OAZ1,ENSG00000104904,SBNO2,25,34,63,21,2,6,17,14,2,3,7,7,10,10,11,7,8,10,3,8,13,4,1,0,286
NFATC1--CTDP1,ENSG00000131196,NFATC1,ENSG00000131196,CTDP1,27,19,8,44,5,0,1,4,5,12,2,1,8,4,4,3,2,4,2,4,1,3,4,0,167
PIM3--BRD1,ENSG00000198355,PIM3,ENSG00000198355,BRD1,53,31,18,3,6,9,15,7,1,6,0,0,1,3,1,1,1,1,2,3,0,2,0,0,164
KLF10--YWHAZ,ENSG00000155090,KLF10,ENSG00000155090,YWHAZ,46,19,15,6,4,11,10,4,1,2,4,3,5,4,1,5,3,4,0,2,0,1,1,0,151
USP12--HMGB1,ENSG00000152484,USP12,ENSG00000152484,HMGB1,18,6,17,11,0,10,8,7,0,0,3,2,8,7,8,4,0,10,3,0,10,7,4,0,143
HNRNPH1--CLK4,ENSG00000169045,HNRNPH1,ENSG00000169045,CLK4,14,22,10,21,5,5,3,4,2,4,0,2,3,10,6,2,5,4,1,4,5,3,1,0,136
BCR--ABL1,ENSG00000186716,BCR,ENSG00000186716,ABL1,0,0,0,0,0,35,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
MRPL20--SSU72,ENSG00000242485,MRPL20,ENSG00000242485,SSU72,13,11,10,42,2,3,2,0,0,4,1,1,2,5,4,2,0,4,0,4,5,3,0,0,118
UVSSA--MAEA,ENSG00000163945,UVSSA,ENSG00000163945,MAEA,11,30,19,4,3,2,5,9,5,0,2,5,1,3,1,7,0,2,0,1,3,0,0,1,114
SS18L1--PSMA7,ENSG00000184402,SS18L1,ENSG00000184402,PSMA7,28,38,8,0,4,0,8,2,5,3,2,3,1,0,0,3,2,0,3,0,1,0,0,0,111
FBXL5--CPEB2,ENSG00000118564,FBXL5,ENSG00000118564,CPEB2,6,35,16,0,1,0,11,3,8,1,0,8,0,0,0,8,0,2,5,0,0,0,0,0,104
SBNO1--SETD8,ENSG00000139697,SBNO1,ENSG00000139697,SETD8,29,31,15,0,0,2,7,6,1,1,0,0,2,0,1,1,2,0,4,0,0,2,0,0,104
YWHAZ--ZNF706,ENSG00000164924,YWHAZ,ENSG00000164924,ZNF706,20,20,4,9,12,0,9,3,3,5,3,3,1,1,0,3,3,1,1,0,1,0,0,0,102
MARCH8--NCOA4,,MARCH8,,NCOA4,11,53,19,1,0,0,3,1,2,0,1,0,0,0,4,0,1,2,0,1,1,0,1,0,101
PTBP1--SBNO2,ENSG00000011304,PTBP1,ENSG00000011304,SBNO2,18,12,12,12,1,3,3,3,0,6,1,1,5,3,9,1,1,2,0,5,1,1,0,0,100
MBP--CTDP1,ENSG00000197971,MBP,ENSG00000197971,CTDP1,30,17,9,1,0,5,2,1,2,5,2,4,0,3,0,5,0,2,2,8,1,0,0,0,99
