GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENSG00000102007,PLP2,5,18,8,3,0,0,2,3,2,0,0,3,0,1,2,1,1,1,2,1,4,1,0,0,58
ENSG00000250312,ZNF718,18,3,2,0,0,2,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,30
ENSG00000136305,CIDEB,16,2,1,0,2,2,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,28
ENSG00000182903,ZNF721,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27
ENSG00000141447,OSBPL1A,22,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26
ENSG00000170035,UBE2E3,18,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,25
ENSG00000197969,VPS13A,17,0,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,25
ENSG00000167081,PBX3,16,1,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,24
ENSG00000167785,ZNF558,0,0,0,11,7,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,24
ENSG00000072609,CHFR,3,0,0,0,8,8,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,22
ENSG00000099810,MTAP,0,0,0,1,1,6,0,0,0,0,8,0,0,3,0,0,1,0,0,0,1,1,0,0,22
ENSG00000167981,ZNF597,11,2,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,22
ENSG00000177432,NAP1L5,16,0,1,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22
ENSG00000102221,JADE3,0,0,0,16,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,21
ENSG00000197608,ZNF841,14,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21
ENSG00000277775,H3C7,18,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21
ENSG00000141510,TP53,8,4,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,20
ENSG00000164830,OXR1,3,0,0,3,0,8,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,20
ENSG00000073792,IGF2BP2,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ENSG00000104408,EIF3E,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19
ENSG00000125962,ARMCX5,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,3,2,0,2,3,1,1,0,19
ENSG00000151883,PARP8,16,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ENSG00000152454,AC010326.1,6,0,0,0,1,5,0,0,0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,19
ENSG00000197948,FCHSD1,6,1,0,0,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ENSG00000198205,ZXDA,11,1,1,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,19
ENSG00000263465,SRSF8,16,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
ENSG00000079739,PGM1,15,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
