GeneID,GeneSymbol,AML,MDS,MPN,CLL,MM,BCP-ALL,CMML,Mastocytosis,CML,T-NHL,T-ALL,MDS/MPN-U,MZL,MCL,HCL,aCML,HGBL,LPL,MDS/MPN-RS-T,CLPD-NK,FL,B-NHL,HCL-V,MGUS,Total
ENSG00000165115,KIF27,0,7,6,1,1,0,3,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,25
ENSG00000066827,ZFAT,2,6,2,2,0,2,0,1,0,1,0,0,2,0,1,2,0,1,1,1,0,0,0,0,24
ENSG00000101882,NKAP,4,1,0,2,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,0,17
ENSG00000017797,RALBP1,2,6,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14
ENSG00000128731,HERC2,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,13
ENSG00000156052,GNAQ,0,0,0,1,5,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,1,0,13
ENSG00000213780,GTF2H4,2,1,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,13
ENSG00000234289,H2BS1,4,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,13
ENSG00000274559,CU639417.1,4,0,1,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,13
ENSG00000278540,ACACA,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
ENSG00000148690,FRA10AC1,0,2,2,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,12
ENSG00000168000,BSCL2,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,12
ENSG00000168116,KIAA1586,2,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,12
ENSG00000172809,RPL38,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12
ENSG00000177646,ACAD9,2,0,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,12
ENSG00000249115,HAUS5,4,2,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,12
