GeneID,GeneSymbol,Entity,Study group,Method,Metric,Value
ENSG00000240403,KIR3DL2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,3
ENSG00000240403,KIR3DL2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,4
ENSG00000240403,KIR3DL2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,5
ENSG00000240403,KIR3DL2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,4
ENSG00000240403,KIR3DL2,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000240403,KIR3DL2,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,10
ENSG00000240403,KIR3DL2,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,13
ENSG00000240403,KIR3DL2,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,15
ENSG00000240403,KIR3DL2,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>2,13
ENSG00000240403,KIR3DL2,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>4,5
ENSG00000240403,KIR3DL2,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,3
ENSG00000240403,KIR3DL2,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,3
ENSG00000240403,KIR3DL2,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,3
ENSG00000240403,KIR3DL2,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,3
ENSG00000240403,KIR3DL2,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,2
ENSG00000240403,KIR3DL2,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,11
ENSG00000240403,KIR3DL2,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,12
ENSG00000240403,KIR3DL2,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,12
ENSG00000240403,KIR3DL2,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,12
ENSG00000240403,KIR3DL2,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>4,9
ENSG00000197915,HRNR,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000197915,HRNR,BCP-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,2
ENSG00000197915,HRNR,BCP-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000197915,HRNR,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000197915,HRNR,B-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000197915,HRNR,B-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000197915,HRNR,MPN,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000243772,KIR2DL3,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,4
ENSG00000243772,KIR2DL3,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,4
ENSG00000243772,KIR2DL3,CLPD-NK,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,4
ENSG00000243772,KIR2DL3,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>2,4
ENSG00000243772,KIR2DL3,CLPD-NK,"",NB-act,Number of samples predicted when filtering for zScore>4,4
ENSG00000243772,KIR2DL3,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,1
ENSG00000243772,KIR2DL3,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,1
ENSG00000243772,KIR2DL3,T-ALL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,1
ENSG00000243772,KIR2DL3,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>2,1
ENSG00000243772,KIR2DL3,T-ALL,"",NB-act,Number of samples predicted when filtering for zScore>4,1
ENSG00000243772,KIR2DL3,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.01 and zScore>0,2
ENSG00000243772,KIR2DL3,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.05 and zScore>0,2
ENSG00000243772,KIR2DL3,T-NHL,"",NB-act,Number of samples predicted when filtering for padjust<0.1 and zScore>0,3
ENSG00000243772,KIR2DL3,T-NHL,"",NB-act,Number of samples predicted when filtering for zScore>2,2
